Team,Round_1_Win,Round_2_Win,Sweet_16,Elite_8,Final_4,Champion,Seed
Duke,0.9862,0.837,0.6754,0.5201,0.3282,0.2039,1
Michigan,0.9879,0.8629,0.6526,0.467,0.2878,0.1656,1
Arizona,0.9906,0.8381,0.6283,0.4136,0.2472,0.1439,1
Florida,0.9925,0.7951,0.5624,0.3128,0.1723,0.0876,1
Purdue,0.9801,0.8144,0.5884,0.3093,0.1615,0.0809,2
Illinois,0.9704,0.8014,0.4765,0.2737,0.1472,0.0715,3
Houston,0.967,0.759,0.4071,0.2255,0.1177,0.0584,2
Iowa St.,0.9801,0.7435,0.4748,0.2091,0.0985,0.0428,2
Connecticut,0.9664,0.6651,0.3762,0.1423,0.0569,0.0217,2
Gonzaga,0.9364,0.6426,0.2546,0.0951,0.0364,0.0137,3
Vanderbilt,0.8667,0.5588,0.2296,0.094,0.0388,0.0131,5
Michigan St.,0.9092,0.5349,0.2748,0.0968,0.035,0.0118,3
Alabama,0.8825,0.4725,0.1445,0.068,0.0258,0.0106,4
Texas Tech,0.8522,0.4777,0.1572,0.0775,0.0289,0.0094,5
Arkansas,0.9143,0.5123,0.1675,0.0682,0.0267,0.0091,4
Virginia,0.9251,0.5244,0.2309,0.0782,0.0267,0.0085,3
St. John's,0.8306,0.5077,0.1416,0.0663,0.0213,0.0081,5
Wisconsin,0.8681,0.4547,0.1442,0.0588,0.0192,0.007,5
Louisville,0.7608,0.3898,0.1975,0.0635,0.0224,0.007,6
Tennessee,0.8634,0.4452,0.1987,0.0668,0.0225,0.0054,6
Nebraska,0.9192,0.4002,0.1247,0.0372,0.011,0.0033,4
UCLA,0.7141,0.2739,0.1209,0.0336,0.0096,0.003,7
Kansas,0.8508,0.4217,0.0991,0.0404,0.0127,0.0028,4
Ohio St.,0.7146,0.1358,0.0717,0.0303,0.0086,0.0021,8
BYU,0.5772,0.214,0.0586,0.0147,0.0038,0.0016,6
Saint Mary's,0.5978,0.1534,0.045,0.0162,0.0055,0.0014,7
Iowa,0.5701,0.1254,0.053,0.0165,0.0042,0.0012,9
Santa Clara,0.5334,0.1426,0.0536,0.0127,0.0037,0.001,10
Utah St.,0.551,0.095,0.0342,0.0115,0.0029,0.0008,9
Miami FL,0.5724,0.1164,0.0455,0.011,0.0025,0.0007,7
North Carolina,0.6377,0.1423,0.0412,0.0122,0.0029,0.0005,6
Villanova,0.449,0.0659,0.0234,0.0073,0.0019,0.0005,8
Kentucky,0.4666,0.1124,0.0383,0.008,0.0021,0.0003,7
Missouri,0.4276,0.067,0.0232,0.0036,0.0012,0.0002,10
Georgia,0.5617,0.0817,0.0275,0.0087,0.0018,0.0002,8
Clemson,0.4299,0.0793,0.0274,0.0055,0.0009,0.0002,8
Texas,0.4228,0.1361,0.0292,0.0066,0.0014,0.0001,11
Saint Louis,0.4383,0.0535,0.0142,0.0037,0.0003,0.0001,9
Texas A&M,0.4022,0.0831,0.0193,0.0042,0.0009,0.0,10
Troy,0.0808,0.0072,0.0001,0.0,0.0,0.0,13
UCF,0.2859,0.0587,0.0128,0.0019,0.0001,0.0,10
Tennessee St.,0.0199,0.0015,0.0,0.0,0.0,0.0,15
Siena,0.0138,0.0011,0.0,0.0,0.0,0.0,16
UMBC,0.0,0.0,0.0,0.0,0.0,0.0,16
TCU,0.2854,0.0261,0.0063,0.0013,0.0002,0.0,9
VCU,0.3623,0.0525,0.0104,0.0018,0.0004,0.0,11
South Florida,0.2392,0.0632,0.0161,0.0026,0.0001,0.0,11
Akron,0.1478,0.0326,0.0025,0.0001,0.0,0.0,12
N.C. State,0.0,0.0,0.0,0.0,0.0,0.0,11
SMU,0.0,0.0,0.0,0.0,0.0,0.0,11
Kennesaw St.,0.0636,0.0073,0.0005,0.0,0.0,0.0,14
Cal Baptist,0.1492,0.0256,0.0019,0.0002,0.0001,0.0,13
Furman,0.0336,0.0023,0.0001,0.0,0.0,0.0,15
Hawaii,0.0857,0.0122,0.0007,0.0,0.0,0.0,13
High Point,0.1319,0.0208,0.0017,0.0003,0.0001,0.0,12
Hofstra,0.1175,0.0172,0.0013,0.0,0.0,0.0,13
Howard,0.0121,0.0019,0.0002,0.0,0.0,0.0,16
Idaho,0.033,0.0045,0.0001,0.0,0.0,0.0,15
LIU,0.0094,0.001,0.0,0.0,0.0,0.0,16
Queens,0.0199,0.0022,0.0,0.0,0.0,0.0,15
Lehigh,0.0,0.0,0.0,0.0,0.0,0.0,16
McNeese St.,0.1333,0.0338,0.0028,0.0004,0.0001,0.0,12
Miami OH,0.1366,0.0229,0.0031,0.0002,0.0,0.0,11
North Dakota St.,0.0908,0.0121,0.0016,0.0001,0.0,0.0,14
Northern Iowa,0.1694,0.045,0.004,0.0006,0.0,0.0,12
Penn,0.0296,0.0038,0.0004,0.0,0.0,0.0,14
Prairie View A&M,0.0075,0.0002,0.0,0.0,0.0,0.0,16
Wright St.,0.0749,0.0075,0.0006,0.0,0.0,0.0,14
